train/episode,train/steps,test/success_rate,test/reward,stats_o/mean,stats_o/std,stats_g/std,train/reward,stats_g/mean,epoch,test/mean_Q,test/episode,train/success_rate,test/steps
30.0,1500.0,0.0,-224.32916744530985,-0.04685422,1.1491582,1.0205368,-202.9987966976659,-0.0036368407,0,-3.2271345,20.0,0.0,1000.0
60.0,3000.0,0.0,-239.6091839838204,-0.038403884,1.1121933,0.9876095,-180.82142077730367,-0.032744072,1,-3.6806726,40.0,0.0,2000.0
90.0,4500.0,0.0,-206.45828412304155,0.011773562,1.1065836,0.9761603,-275.79463004639047,-0.0062052365,2,-4.9059134,60.0,0.0,3000.0
120.0,6000.0,0.0,-152.446802004892,0.026035013,1.0857987,0.9581584,-186.15548244184555,-0.0056407303,3,-4.132546,80.0,0.0,4000.0
150.0,7500.0,0.025,-140.89187449078065,0.020548996,1.0527285,0.9394443,-200.87036123645004,0.003897503,4,-4.9118752,100.0,0.0,5000.0
180.0,9000.0,0.0,-114.30464184491909,0.02547152,1.0243173,0.9313752,-150.57320524891077,-0.007367276,5,-4.802457,120.0,0.0,6000.0
210.0,10500.0,0.0,-73.33963289031281,0.026829408,1.0026722,0.931839,-123.51073583400131,0.0010857552,6,-5.3139,140.0,0.016666666666666666,7000.0
240.0,12000.0,0.0,-101.51038478432815,0.024138484,0.9824562,0.92418027,-141.58417899484886,-0.0017191492,7,-4.6209273,160.0,0.016666666666666666,8000.0
270.0,13500.0,0.275,-88.09141927806229,0.023516338,0.96265626,0.916189,-139.45296078011916,-0.012193693,8,-4.3503065,180.0,0.06666666666666667,9000.0
300.0,15000.0,0.5,-74.8092016218331,0.020304797,0.9501509,0.91792345,-109.26634486122543,-0.008402932,9,-4.4184656,200.0,0.16666666666666669,10000.0
330.0,16500.0,0.5,-64.57935236113445,0.019340478,0.9386506,0.9177277,-128.33046114035628,0.0002393634,10,-4.600999,220.0,0.13333333333333333,11000.0
360.0,18000.0,0.475,-80.51575947843537,0.016798988,0.92996776,0.91593874,-74.9657566784434,-0.005426787,11,-5.005469,240.0,0.18333333333333335,12000.0
390.0,19500.0,1.0,-78.36818180733513,0.0142066665,0.9215059,0.9171089,-111.296406580036,-0.0017815547,12,-5.1287756,260.0,0.21666666666666667,13000.0
420.0,21000.0,0.55,-69.770587795829,0.014618572,0.9125036,0.91441286,-104.88922166577879,-0.0009768216,13,-4.424644,280.0,0.23333333333333334,14000.0
450.0,22500.0,0.95,-42.944416422798554,0.016618969,0.905635,0.9159207,-125.06571963806223,0.0046061594,14,-5.5483184,300.0,0.25,15000.0
