test/mean_Q,test/success_rate,stats_g/std,train/steps,stats_g/mean,train/episode,stats_o/mean,epoch,test/episode,train/success_rate,test/reward,test/steps,train/reward,stats_o/std
-3.4185405,0.0,1.0133612,1500.0,0.10164529,30.0,-0.0016683415,0,20.0,0.0,-261.3749051321096,1000.0,-255.21911822400267,1.1944373
-4.2150693,0.0,0.97628665,3000.0,0.073345006,60.0,0.02037855,1,40.0,0.0,-208.09732404617824,2000.0,-197.31590755851585,1.144532
-4.7507906,0.0,0.97499645,4500.0,0.04562831,90.0,0.0005404614,2,60.0,0.0,-198.1926498681293,3000.0,-241.28583526881485,1.1101177
-5.3199434,0.0,0.94613194,6000.0,0.035398327,120.0,9.3108974e-05,3,80.0,0.0,-207.07723784958532,4000.0,-215.17910321719478,1.0811745
-5.754739,0.0,0.92043734,7500.0,0.03606794,150.0,-0.005112215,4,100.0,0.0,-98.69139867818237,5000.0,-194.17839289282986,1.051465
-5.2575192,0.025,0.9086168,9000.0,0.016941145,180.0,-0.0059098713,5,120.0,0.0,-149.70194587386374,6000.0,-181.99234777639344,1.0257759
-5.6535916,0.05,0.9028036,10500.0,0.008355822,210.0,-0.014346851,6,140.0,0.0,-125.05699186519637,7000.0,-133.1487585629523,0.9995128
-5.5696707,0.125,0.8995127,12000.0,0.0033988205,240.0,-0.02661128,7,160.0,0.0,-79.0987685191153,8000.0,-187.35963645640686,0.9809622
-5.0429835,0.175,0.89501286,13500.0,-0.0038791979,270.0,-0.02267534,8,180.0,0.03333333333333333,-85.32964144632236,9000.0,-105.31436370190973,0.96087
-5.025555,0.325,0.89114225,15000.0,-0.0015164323,300.0,-0.020558435,9,200.0,0.06666666666666667,-69.30582342903571,10000.0,-113.28023367079723,0.9454006
-5.8051653,0.6,0.8904266,16500.0,0.0028228979,330.0,-0.014601466,10,220.0,0.13333333333333333,-64.8065681048815,11000.0,-116.50016889136546,0.93262494
-5.6997714,0.6,0.89436936,18000.0,-0.0030722301,360.0,-0.01402393,11,240.0,0.18333333333333335,-99.38523377983816,12000.0,-110.46866517596204,0.92394996
-5.8552246,0.775,0.89301264,19500.0,-0.0022001495,390.0,-0.015527244,12,260.0,0.3,-93.15910998640418,13000.0,-66.68296100128646,0.91453445
-5.953139,0.825,0.892219,21000.0,-0.012236275,420.0,-0.016733263,13,280.0,0.15,-71.487790070714,14000.0,-75.46695221467827,0.9048339
-4.925806,0.775,0.89311266,22500.0,-0.008311975,450.0,-0.013778553,14,300.0,0.18333333333333335,-24.491852602720382,15000.0,-95.25695030699453,0.89775527
-5.5417957,0.7,0.89535594,24000.0,-0.004148391,480.0,-0.01405,15,320.0,0.21666666666666667,-49.41398059613378,16000.0,-93.67557491944115,0.8911437
-6.8581944,0.3,0.8956293,25500.0,0.0021829447,510.0,-0.013251152,16,340.0,0.13333333333333333,-64.83044816908954,17000.0,-103.21714314953533,0.8851468
-5.9866295,0.07500000000000001,0.89766705,27000.0,0.0035179085,540.0,-0.011505061,17,360.0,0.1,-66.61238332088828,18000.0,-108.30521075057425,0.88077295
-7.000331,0.375,0.89798975,28500.0,0.00078007224,570.0,-0.012112427,18,380.0,0.2,-94.52439661844497,19000.0,-97.01390351441893,0.87632656
-5.8760204,0.6499999999999999,0.89961374,30000.0,0.0014546437,600.0,-0.011209855,19,400.0,0.016666666666666666,-67.45854796320097,20000.0,-115.21970421616675,0.8751761
