test/episode,stats_g/std,test/steps,epoch,test/success_rate,train/success_rate,stats_o/std,test/mean_Q,train/steps,stats_g/mean,stats_o/mean,test/reward,train/reward,train/episode
20.0,1.0344942,1000.0,0,0.0,0.0,1.1884403,-3.5875802,1500.0,-0.014575137,0.085327335,-232.6892068222855,-215.59160349592105,30.0
40.0,1.0006152,2000.0,1,0.0,0.0,1.1367323,-3.9523048,3000.0,-0.021013051,0.025356539,-183.33244260518293,-193.23937302009983,60.0
60.0,0.97205937,3000.0,2,0.0,0.0,1.1034087,-5.245534,4500.0,-0.0354641,0.004902086,-193.0160454934587,-185.79634502513244,90.0
80.0,0.9465941,4000.0,3,0.0,0.0,1.0661986,-5.622358,6000.0,-0.03409459,0.0013988856,-140.96562268459866,-187.3318117198566,120.0
100.0,0.93386686,5000.0,4,0.025,0.0,1.0341568,-4.9886436,7500.0,-0.040402263,-0.00640098,-152.80702846623922,-158.45890288852215,150.0
120.0,0.9264916,6000.0,5,0.025,0.0,1.0094457,-6.569573,9000.0,-0.030737653,-0.00961412,-115.59237604846233,-172.79101291341846,180.0
140.0,0.9180205,7000.0,6,0.3,0.0,0.99086106,-5.9152946,10500.0,-0.031146387,-0.008053528,-130.86501253340003,-119.90143795700081,210.0
160.0,0.9060923,8000.0,7,0.425,0.06666666666666667,0.9707179,-5.4173136,12000.0,-0.03027508,-0.010379981,-133.07795799341966,-105.32138618475193,240.0
180.0,0.90585965,9000.0,8,0.85,0.08333333333333334,0.95680887,-4.7725143,13500.0,-0.03507138,-0.013431407,-51.62425004411125,-138.6609891814523,270.0
200.0,0.9037103,10000.0,9,0.8500000000000001,0.35,0.94200826,-5.023203,15000.0,-0.021388823,-0.008507729,-65.22747169156207,-104.0547027574286,300.0
220.0,0.9046233,11000.0,10,0.9,0.16666666666666669,0.9325015,-5.6906586,16500.0,-0.0140104545,-0.008383097,-67.19784451748711,-101.52648054153327,330.0
240.0,0.90515244,12000.0,11,0.925,0.3666666666666667,0.923471,-5.0155864,18000.0,-0.008358787,-0.008555316,-45.09994240122567,-110.89769991284109,360.0
260.0,0.90565825,13000.0,12,0.95,0.3666666666666667,0.91467226,-5.9195995,19500.0,-0.015542178,-0.012566494,-64.14788590316763,-108.02865714772565,390.0
280.0,0.9017281,14000.0,13,0.975,0.4,0.9048676,-5.412332,21000.0,-0.013135113,-0.008704529,-86.82923854411798,-115.39369247514063,420.0
300.0,0.9019729,15000.0,14,0.95,0.4166666666666667,0.89737594,-5.4034386,22500.0,-0.011615489,-0.007986394,-76.23127863327204,-108.39303007191441,450.0
