stats_o/std,test/success_rate,test/steps,train/steps,train/success_rate,test/reward,train/episode,stats_g/mean,stats_g/std,train/reward,stats_o/mean,epoch,test/episode,test/mean_Q
1.1551212,0.0,1000.0,1500.0,0.0,-242.909016327375,30.0,-0.039094944,1.0293752,-228.18922863000498,0.0017946567,0,20.0,-3.558401
1.1374898,0.0,2000.0,3000.0,0.0,-233.7163287640194,60.0,0.02771986,1.0030209,-238.7962890673223,0.0707804,1,40.0,-4.046616
1.0977209,0.0,3000.0,4500.0,0.0,-159.03066948789393,90.0,0.017790444,0.9579179,-277.8482678228141,0.07425587,2,60.0,-4.433447
1.0663824,0.0,4000.0,6000.0,0.0,-128.70449457240647,120.0,0.0092382,0.9268348,-188.5054810970455,0.04924878,3,80.0,-4.7185903
1.027349,0.025,5000.0,7500.0,0.0,-146.41164159578256,150.0,0.020621859,0.9119298,-105.42763667463254,0.051775686,4,100.0,-4.617193
1.0064569,0.025,6000.0,9000.0,0.016666666666666666,-54.41913155830076,180.0,0.017303718,0.90260506,-210.2780515511381,0.04040685,5,120.0,-4.5057383
0.99044704,0.525,7000.0,10500.0,0.03333333333333333,-99.38568574799464,210.0,0.010039141,0.898129,-100.82725067475317,0.03637442,6,140.0,-4.6515493
0.97412795,0.7250000000000001,8000.0,12000.0,0.13333333333333333,-68.7344348807712,240.0,-0.0077328775,0.8957704,-194.65155865212236,0.025128478,7,160.0,-5.4784527
0.9590688,1.0,9000.0,13500.0,0.26666666666666666,-70.56158098141309,270.0,-0.0035105944,0.8990476,-176.672390085445,0.018239528,8,180.0,-4.257819
0.9469296,1.0,10000.0,15000.0,0.26666666666666666,-61.00559447682872,300.0,0.008107859,0.90094596,-143.3164988088069,0.018873844,9,200.0,-4.9002676
0.93595445,1.0,11000.0,16500.0,0.33333333333333337,-63.30149833524136,330.0,0.0064208237,0.90242845,-122.85874369868284,0.015106266,10,220.0,-4.8441286
0.9236125,1.0,12000.0,18000.0,0.5,-81.71410262419181,360.0,0.0037940799,0.8997176,-82.72245342312468,0.013170099,11,240.0,-5.169818
0.91619533,1.0,13000.0,19500.0,0.3666666666666667,-64.11181038757832,390.0,0.0048320107,0.90188956,-131.44625994223372,0.014712468,12,260.0,-5.220665
0.907624,1.0,14000.0,21000.0,0.4,-70.50752214602564,420.0,0.007970566,0.8995019,-75.41161732127534,0.015599255,13,280.0,-5.1978865
0.89878714,0.95,15000.0,22500.0,0.4166666666666667,-48.29754216866983,450.0,0.0043736827,0.89567006,-83.13317760917138,0.015850266,14,300.0,-5.1252594
0.8924564,1.0,16000.0,24000.0,0.3333333333333333,-84.18842503067765,480.0,0.0059393733,0.89508235,-101.61160260087527,0.0156505,15,320.0,-5.5583253
