test/steps,stats_g/std,stats_o/mean,stats_g/mean,test/reward,train/reward,train/steps,train/success_rate,train/episode,stats_o/std,epoch,test/success_rate,test/episode,test/mean_Q
1000.0,1.0030961,-0.06742845,0.031992752,-251.00874771248232,-137.87115750304,1500.0,0.0,30.0,1.1149995,0,0.0,20.0,-3.0628052
2000.0,0.952245,-0.05376591,0.0012235764,-143.4458178039369,-204.39761579985515,3000.0,0.0,60.0,1.0903604,1,0.0,40.0,-4.046191
3000.0,0.92589253,-0.040743556,-0.0025870334,-169.24714126017545,-207.46305554835286,4500.0,0.0,90.0,1.0491638,2,0.0,60.0,-4.3056507
4000.0,0.91360515,-0.018080615,0.0067135314,-179.83129648243664,-141.41323618401287,6000.0,0.0,120.0,1.0256848,3,0.0,80.0,-5.279313
5000.0,0.9031522,-0.023895372,0.01562769,-112.14535114435284,-191.36716769525134,7500.0,0.0,150.0,1.0029454,4,0.0,100.0,-4.973132
6000.0,0.9001603,-0.023660813,0.01569662,-98.638715793366,-198.26745664513334,9000.0,0.0,180.0,0.9816487,5,0.15000000000000002,120.0,-4.3250504
7000.0,0.89321846,-0.019903298,0.019544242,-84.00943015268527,-161.80509395932518,10500.0,0.0,210.0,0.96595585,6,0.55,140.0,-4.6772842
8000.0,0.8887379,-0.012042942,0.016840715,-106.49388723686334,-122.58340058851604,12000.0,0.05,240.0,0.95199996,7,0.95,160.0,-4.5043383
9000.0,0.8844232,-0.006731777,0.017585516,-103.05131195607817,-126.57622088534525,13500.0,0.23333333333333334,270.0,0.9366811,8,1.0,180.0,-5.511321
10000.0,0.88851345,-0.004715373,0.017850855,-58.51698422828629,-111.42002758009991,15000.0,0.3,300.0,0.92975414,9,1.0,200.0,-4.5711145
11000.0,0.8919146,-0.0043259137,0.012508277,-85.44210644482399,-99.32397543321578,16500.0,0.48333333333333334,330.0,0.9200542,10,1.0,220.0,-4.6464453
12000.0,0.8933934,-0.004009283,0.009106677,-77.80455807573667,-66.17118157829226,18000.0,0.4,360.0,0.9133796,11,1.0,240.0,-4.7185473
