train/reward,stats_o/std,test/reward,stats_g/std,train/success_rate,epoch,test/episode,train/episode,test/mean_Q,stats_o/mean,test/steps,test/success_rate,train/steps,stats_g/mean
-272.3799354529499,1.1293159,-161.58046589876216,0.93545896,0.0,0,20.0,30.0,-3.2614813,-0.07012048,1000.0,0.0,1500.0,-0.02790495
-242.9262460170545,1.1022872,-203.68741379696695,0.92079747,0.0,1,40.0,60.0,-3.8947763,0.0012076856,2000.0,0.0,3000.0,0.021436423
-158.33236277342905,1.068309,-175.60872498991483,0.9026438,0.0,2,60.0,90.0,-4.4113865,0.018035028,3000.0,0.0,4500.0,0.033037066
-170.74286596481147,1.0423095,-129.68695496742382,0.8901322,0.0,3,80.0,120.0,-4.492258,0.005864427,4000.0,0.0,6000.0,0.013364958
-177.02546110694993,1.0083085,-99.82654777867731,0.8813883,0.0,4,100.0,150.0,-4.802615,0.0066726245,5000.0,0.025,7500.0,0.028392188
-137.57202855310342,0.9853499,-135.68314035299113,0.87769485,0.0,5,120.0,180.0,-5.4105954,0.01505269,6000.0,0.35,9000.0,0.039648026
-153.62893445288591,0.969803,-108.4214422521685,0.87800395,0.05,6,140.0,210.0,-4.9580507,0.01569115,7000.0,0.5,10500.0,0.03911832
-177.52556728555658,0.95161134,-55.29781480206829,0.8686705,0.13333333333333333,7,160.0,240.0,-4.546084,0.014276866,8000.0,0.7250000000000001,12000.0,0.04126362
-128.01961558987625,0.9367018,-106.2278056838411,0.86937284,0.16666666666666669,8,180.0,270.0,-4.959812,0.015939407,9000.0,0.8,13500.0,0.039166685
-90.12052434957818,0.92442906,-64.94249086785761,0.8669186,0.2,9,200.0,300.0,-5.2023816,0.017273193,10000.0,0.95,15000.0,0.030131869
-101.80753308862973,0.91236234,-98.26801732549967,0.8686321,0.26666666666666666,10,220.0,330.0,-5.0103865,0.020603284,11000.0,1.0,16500.0,0.0257696
-94.6635947064205,0.90170366,-45.42212918761742,0.8690289,0.3833333333333333,11,240.0,360.0,-5.1737423,0.018513435,12000.0,1.0,18000.0,0.02019964
-98.90887073478851,0.89176613,-78.68892604469283,0.8677396,0.5166666666666666,12,260.0,390.0,-5.038617,0.017145244,13000.0,1.0,19500.0,0.02451911
-85.55683031189105,0.884038,-71.70254357347044,0.8710718,0.4666666666666667,13,280.0,420.0,-5.350662,0.017506426,14000.0,1.0,21000.0,0.021900441
-140.83635282014956,0.87976396,-44.53119718015137,0.87529707,0.35,14,300.0,450.0,-5.707549,0.016856382,15000.0,1.0,22500.0,0.017236074
