stats_o/mean,test/mean_Q,train/reward,stats_g/mean,epoch,train/episode,train/steps,test/episode,test/steps,stats_o/std,train/success_rate,test/success_rate,test/reward,stats_g/std
0.07934782,-3.3095326,-247.82731274602756,0.087712325,0,30.0,1500.0,20.0,1000.0,1.2149535,0.0,0.0,-183.32790731079092,1.0555402
0.08466546,-3.8963227,-282.81922134532374,0.099397376,1,60.0,3000.0,40.0,2000.0,1.152378,0.0,0.0,-145.31347466927375,1.0067899
0.041530296,-4.5930653,-199.52559859615025,0.054247316,2,90.0,4500.0,60.0,3000.0,1.1066482,0.0,0.0,-209.69520735605258,0.96339667
0.016656082,-5.3967047,-140.9295018553159,0.015183979,3,120.0,6000.0,80.0,4000.0,1.0666928,0.0,0.0,-194.08190480391914,0.9249375
0.011274928,-4.944932,-195.57151454734856,0.017804846,4,150.0,7500.0,100.0,5000.0,1.0363283,0.0,0.0,-129.4932587747195,0.90846294
0.010135711,-5.110834,-180.18400854802942,0.003023839,5,180.0,9000.0,120.0,6000.0,1.0138502,0.0,0.05,-108.63289885472248,0.8933402
0.010050934,-5.6143527,-159.9541715132256,-0.0006828401,6,210.0,10500.0,140.0,7000.0,0.9995656,0.016666666666666666,0.32499999999999996,-85.11520313718096,0.8904659
0.0016285898,-5.436906,-137.136480718398,-0.010279864,7,240.0,12000.0,160.0,8000.0,0.98111004,0.06666666666666667,0.725,-81.135206023851,0.8884902
-0.0050197523,-5.9834757,-107.83756827335128,-0.012894717,8,270.0,13500.0,180.0,9000.0,0.96750546,0.15,0.85,-120.56805926259987,0.8839551
-0.009192733,-5.1690445,-144.35644616145603,-0.021660581,9,300.0,15000.0,200.0,10000.0,0.95747423,0.25,0.95,-58.71963856285456,0.8846805
-0.008524103,-5.1150064,-102.00399875599153,-0.01596152,10,330.0,16500.0,220.0,11000.0,0.9457163,0.26666666666666666,0.95,-52.33232012663112,0.8877937
-0.007873474,-5.1312613,-91.92104303325054,-0.005650748,11,360.0,18000.0,240.0,12000.0,0.9336203,0.3833333333333333,0.925,-48.452994312093566,0.885057
-0.0073846467,-5.1717925,-118.9890652444409,-0.007813845,12,390.0,19500.0,260.0,13000.0,0.9254527,0.35,0.975,-41.66157684573564,0.88711524
-0.010991815,-5.809339,-94.85548942491381,-0.014337357,13,420.0,21000.0,280.0,14000.0,0.9170415,0.3833333333333333,0.975,-88.601568325804,0.8889404
-0.010341924,-5.898111,-91.38328104620636,-0.011776287,14,450.0,22500.0,300.0,15000.0,0.9078441,0.4,0.975,-46.04933089349714,0.8877691
-0.011313127,-7.0852485,-136.26410628689683,-0.014868622,15,480.0,24000.0,320.0,16000.0,0.9001909,0.31666666666666665,0.8999999999999999,-85.48718992547705,0.8878542
-0.008004763,-5.3877907,-157.13159203247756,-0.013094546,16,510.0,25500.0,340.0,17000.0,0.8948288,0.30000000000000004,0.95,-64.51011818589024,0.8883308
-0.007900939,-6.0790825,-78.45295559477813,-0.014101915,17,540.0,27000.0,360.0,18000.0,0.8888502,0.21666666666666667,0.975,-90.51660541075023,0.88619334
-0.008894254,-6.446995,-119.2312973807048,-0.018854272,18,570.0,28500.0,380.0,19000.0,0.8824645,0.30000000000000004,0.975,-80.62795735801888,0.88575953
-0.0066313613,-5.644045,-47.32641409514014,-0.017112505,19,600.0,30000.0,400.0,20000.0,0.87899065,0.35,1.0,-85.10885033443964,0.88783383
