stats_g/std,stats_o/mean,train/reward,test/reward,epoch,train/steps,test/steps,stats_g/mean,train/episode,test/mean_Q,test/success_rate,stats_o/std,train/success_rate,test/episode
1.0116622,-0.01299556,-321.0888198624096,-170.23200840750064,0,1500.0,1000.0,-0.015152668,30.0,-3.2689395,0.0,1.1630499,0.0,20.0
0.9916903,-0.010679843,-236.33181977995187,-221.53639876164783,1,3000.0,2000.0,-0.0009353757,60.0,-4.2564387,0.0,1.1533856,0.0,40.0
0.963755,-0.061912812,-207.94150171674792,-191.8543344780204,2,4500.0,3000.0,-0.060342636,90.0,-4.960417,0.0,1.1173314,0.0,60.0
0.9394407,-0.06546654,-235.4662652682121,-125.10652231645176,3,6000.0,4000.0,-0.065597445,120.0,-5.432042,0.0,1.0900981,0.0,80.0
0.92591965,-0.066939786,-133.85904959890829,-125.94116996000443,4,7500.0,5000.0,-0.061084766,150.0,-5.561141,0.0,1.0637615,0.0,100.0
0.9159409,-0.057029575,-134.32816451524525,-70.35305088041642,5,9000.0,6000.0,-0.055267934,180.0,-5.6403837,0.07500000000000001,1.0380619,0.0,120.0
0.909372,-0.04724943,-118.25485149853922,-102.65349284217848,6,10500.0,7000.0,-0.049875595,210.0,-5.449625,0.2,1.0145001,0.05,140.0
0.90333974,-0.03976444,-155.93132751060674,-113.60188571416657,7,12000.0,8000.0,-0.04999749,240.0,-5.9918413,0.4,0.9979384,0.03333333333333333,160.0
0.89592105,-0.039070673,-76.02523469314008,-70.95166571197558,8,13500.0,9000.0,-0.061550926,270.0,-5.416234,0.875,0.97653216,0.13333333333333333,180.0
0.8916684,-0.038405415,-99.58180769486502,-106.53201107723336,9,15000.0,10000.0,-0.05756379,300.0,-6.0430837,0.8,0.96026886,0.21666666666666667,200.0
0.8926183,-0.034986727,-93.5309926223945,-85.42407384480303,10,16500.0,11000.0,-0.052172635,330.0,-4.8115454,1.0,0.94587153,0.31666666666666665,220.0
0.89311117,-0.030357275,-57.986976997311245,-63.91704671630136,11,18000.0,12000.0,-0.049801987,360.0,-4.9492126,0.975,0.93259394,0.33333333333333337,240.0
0.8920349,-0.029300096,-98.01238772242974,-58.84445111558689,12,19500.0,13000.0,-0.04810918,390.0,-5.8248854,0.95,0.9211863,0.3833333333333333,260.0
0.8936932,-0.028105093,-107.22809635152632,-74.82455482013829,13,21000.0,14000.0,-0.046784822,420.0,-5.009568,0.95,0.91521215,0.23333333333333334,280.0
0.89331365,-0.025202302,-95.1399866268172,-82.23170174921593,14,22500.0,15000.0,-0.043958098,450.0,-4.6314616,0.975,0.9092723,0.2833333333333333,300.0
0.8944398,-0.022847636,-87.62251902940108,-75.91438876910647,15,24000.0,16000.0,-0.03900868,480.0,-5.144994,0.95,0.90226847,0.31666666666666665,320.0
0.8974475,-0.023623973,-100.54336120556619,-66.53397548575188,16,25500.0,17000.0,-0.038448628,510.0,-5.8375497,0.975,0.8969002,0.3333333333333333,340.0
0.89788073,-0.020582514,-53.205110834013155,-75.65183666177607,17,27000.0,18000.0,-0.035361666,540.0,-5.9325895,0.95,0.89199555,0.35,360.0
0.8977133,-0.019634416,-98.91532952695638,-65.24456045129266,18,28500.0,19000.0,-0.035156757,570.0,-6.7163243,0.925,0.8865528,0.21666666666666667,380.0
0.898573,-0.020993315,-110.75477130190984,-50.1378367402678,19,30000.0,20000.0,-0.033215888,600.0,-5.8350344,0.975,0.8827677,0.21666666666666667,400.0
