stats_o/std,test/episode,test/steps,stats_o/mean,stats_g/mean,test/mean_Q,stats_g/std,train/episode,test/reward,train/steps,test/success_rate,train/success_rate,train/reward,epoch
1.1770098,20.0,1000.0,-0.05062411,-0.051768653,-3.6962852,1.0151384,30.0,-349.1641455309483,1500.0,0.0,0.0,-272.9276494382625,0
1.095208,40.0,2000.0,0.039253436,0.032778982,-4.2793064,0.95782685,60.0,-188.1956733682715,3000.0,0.0,0.0,-216.40529354368442,1
1.0835996,60.0,3000.0,0.017515384,0.04894098,-4.9192433,0.9340464,90.0,-207.91970811044408,4500.0,0.0,0.0,-206.2588035066695,2
1.0627517,80.0,4000.0,0.034132108,0.03932144,-5.1175003,0.9342673,120.0,-147.1729924576715,6000.0,0.0,0.0,-215.6768242918041,3
1.0411525,100.0,5000.0,0.03120634,0.03896691,-5.5931892,0.9321225,150.0,-154.9234088775559,7500.0,0.0,0.0,-158.33276330606293,4
1.0159107,120.0,6000.0,0.03244751,0.03810328,-5.410412,0.91808695,180.0,-125.69707307285272,9000.0,0.0,0.0,-174.6178976532001,5
1.0021393,140.0,7000.0,0.009597588,0.030851185,-4.779544,0.91712725,210.0,-92.5660140909177,10500.0,0.0,0.0,-187.40905903770886,6
0.9815729,160.0,8000.0,-0.002793748,0.01432943,-4.964838,0.91458356,240.0,-81.29533856116517,12000.0,0.0,0.0,-147.5276838248343,7
0.9620938,180.0,9000.0,-0.004021327,0.009011239,-4.876373,0.9104738,270.0,-60.54133094533834,13500.0,0.1,0.016666666666666666,-110.75059342924959,8
0.9497973,200.0,10000.0,-0.00016986812,0.011677701,-4.6167955,0.9098691,300.0,-83.93448222963227,15000.0,0.45,0.03333333333333333,-110.68674569060431,9
0.9385698,220.0,11000.0,-0.0027369144,0.007405462,-5.133129,0.91130364,330.0,-99.94019273985688,16500.0,0.6,0.08333333333333334,-121.01051325626462,10
0.93154764,240.0,12000.0,-0.0026860477,0.010171259,-4.9039283,0.9127934,360.0,-86.87224740273473,18000.0,0.5,0.2,-119.97096546724447,11
0.9214255,260.0,13000.0,-0.006472362,0.0019440958,-5.136815,0.9105637,390.0,-89.61947954297395,19500.0,0.42500000000000004,0.25,-153.44327401054068,12
0.9137517,280.0,14000.0,-0.0049819774,0.0041430956,-5.656348,0.9103606,420.0,-92.120344723742,21000.0,0.225,0.2,-109.15231955301414,13
0.9064871,300.0,15000.0,-0.007914391,-0.00019519869,-5.4015837,0.9105131,450.0,-74.29551182707678,22500.0,0.875,0.15,-167.33415877534702,14
