test/mean_Q,stats_o/mean,train/episode,epoch,train/success_rate,test/steps,train/steps,stats_g/std,test/reward,train/reward,stats_o/std,test/episode,test/success_rate,stats_g/mean
-3.10094,-0.027299307,30.0,0,0.0,1000.0,1500.0,0.97959423,-146.01346346424884,-209.3586807871787,1.0703876,20.0,0.0,-0.03527802
-4.0549583,-0.021402264,60.0,1,0.0,2000.0,3000.0,0.93800515,-190.52928335838084,-233.07669638042074,1.0933287,40.0,0.0,0.009873189
-4.676919,-0.01899938,90.0,2,0.0,3000.0,4500.0,0.9142167,-160.4712009347558,-132.02184123577516,1.0601637,60.0,0.0,0.0017317533
-4.9835143,-0.012108963,120.0,3,0.0,4000.0,6000.0,0.8985837,-99.74097976737362,-153.44664321554194,1.0422292,80.0,0.0,-0.010289342
-4.511669,-0.015228256,150.0,4,0.0,5000.0,7500.0,0.8851372,-99.56651640543531,-109.99667516944999,1.009985,100.0,0.0,-0.007564322
-5.140723,-0.020604823,180.0,5,0.0,6000.0,9000.0,0.8820517,-122.87144006947858,-154.9059701353682,0.9882679,120.0,0.0,-0.003834472
-5.0804734,-0.015805013,210.0,6,0.0,7000.0,10500.0,0.8799045,-93.77103278621084,-144.45422096978012,0.9661491,140.0,0.05,0.0018796166
-4.553707,-0.010302126,240.0,7,0.016666666666666666,8000.0,12000.0,0.877705,-100.54740083920157,-147.7524796042216,0.9488055,160.0,0.15,-0.004314062
-4.8752117,-0.010247372,270.0,8,0.09999999999999999,9000.0,13500.0,0.88394374,-86.08439699574441,-118.31197466507314,0.93797415,180.0,0.2,-0.0079579875
-4.6617355,-0.012973333,300.0,9,0.15,10000.0,15000.0,0.8864234,-69.62179868604966,-149.654960023242,0.92814016,200.0,0.8,0.0031274417
-5.1955004,-0.011618009,330.0,10,0.21666666666666667,11000.0,16500.0,0.8812397,-62.58723722207715,-111.82078133245442,0.91574967,220.0,0.725,0.005642094
