train/steps,stats_o/std,train/success_rate,test/reward,epoch,train/episode,train/reward,stats_g/mean,test/mean_Q,test/episode,stats_g/std,stats_o/mean,test/steps,test/success_rate
1500.0,1.1862397,0.0,-225.16215989899763,0,30.0,-235.7317369270104,0.012349533,-3.5903864,20.0,0.967182,-0.07607641,1000.0,0.0
3000.0,1.1526675,0.0,-177.0331424409714,1,60.0,-304.5991578352043,0.032420196,-4.6373625,40.0,0.9491158,-0.023804568,2000.0,0.0
4500.0,1.104561,0.0,-138.66679743635163,2,90.0,-148.23153763564665,0.054575585,-4.532836,60.0,0.9325006,0.008973639,3000.0,0.0
6000.0,1.074118,0.0,-149.27132953344355,3,120.0,-138.8905876521833,0.06242346,-4.815583,80.0,0.920345,0.011934906,4000.0,0.025
7500.0,1.04092,0.0,-106.0089609641215,4,150.0,-191.34533293849753,0.07278006,-4.336651,100.0,0.89810544,0.022254685,5000.0,0.0
9000.0,1.021686,0.016666666666666666,-169.00967420687186,5,180.0,-173.88709001599648,0.067414686,-5.652999,120.0,0.89042914,0.016179224,6000.0,0.0
10500.0,1.0010475,0.0,-95.43415574618453,6,210.0,-149.91207975287995,0.0727915,-5.66259,140.0,0.8917639,0.018791433,7000.0,0.025
12000.0,0.9795349,0.03333333333333333,-73.43388674089094,7,240.0,-99.25667904696078,0.06072976,-5.3750257,160.0,0.8879211,0.013444545,8000.0,0.125
13500.0,0.96586746,0.03333333333333333,-72.71294288321417,8,270.0,-157.7617672133664,0.059406824,-5.151021,180.0,0.8914051,0.012190232,9000.0,0.325
15000.0,0.95171046,0.1,-83.21728251034938,9,300.0,-94.4750075229864,0.059325524,-4.290762,200.0,0.8929963,0.008589836,10000.0,0.5
16500.0,0.93880767,0.16666666666666669,-71.18014030267625,10,330.0,-103.33874978422512,0.063594446,-5.080363,220.0,0.89267635,0.015034761,11000.0,0.925
18000.0,0.92784977,0.15,-55.95553848796632,11,360.0,-129.28099267288778,0.06725255,-5.609634,240.0,0.8945084,0.014705658,12000.0,0.8
19500.0,0.9178169,0.21666666666666667,-47.41422228143384,12,390.0,-130.7214691818279,0.061411694,-4.869419,260.0,0.8943667,0.016228793,13000.0,0.7250000000000001
