stats_g/mean,train/episode,test/success_rate,train/success_rate,stats_o/mean,test/episode,test/mean_Q,stats_o/std,test/reward,train/steps,epoch,stats_g/std,train/reward,test/steps
0.097874865,30.0,0.0,0.0,0.09485912,20.0,-4.0839853,1.2632568,-302.39945967380993,1500.0,0,1.0605052,-247.14600630950545,1000.0
0.055159986,60.0,0.0,0.0,0.026463114,40.0,-4.3316374,1.1983863,-217.69267733919656,3000.0,1,0.99602455,-192.1963650702748,2000.0
0.05246842,90.0,0.0,0.0,0.04693856,60.0,-5.125804,1.1418536,-212.97828991157655,4500.0,2,0.96859336,-185.3979644262734,3000.0
0.028225746,120.0,0.0,0.0,0.012632508,80.0,-5.415452,1.1050963,-176.72493498774017,6000.0,3,0.9474665,-182.92480421108894,4000.0
0.0028848606,150.0,0.0,0.0,0.0094305575,100.0,-5.382883,1.065321,-129.0312415460628,7500.0,4,0.92751837,-141.18103967461894,5000.0
0.009520687,180.0,0.0,0.0,0.0052352003,120.0,-5.849913,1.0383235,-112.42844632799059,9000.0,5,0.92394555,-188.62710254744115,6000.0
0.006413806,210.0,0.0,0.0,0.0019236244,140.0,-6.024837,1.0166075,-126.18728422201895,10500.0,6,0.91750324,-102.93020494577435,7000.0
0.006994134,240.0,0.025,0.0,0.0020792875,160.0,-4.808413,0.9947332,-94.44770036488615,12000.0,7,0.9145669,-152.44611477785025,8000.0
0.016362727,270.0,0.2,0.0,0.0016564922,180.0,-4.930929,0.97670436,-79.96582449445219,13500.0,8,0.91322184,-110.58929754903357,9000.0
0.010985699,300.0,0.125,0.06666666666666667,-0.0025038295,200.0,-6.0017357,0.96060467,-69.41097327939518,15000.0,9,0.9088905,-100.00062317336827,10000.0
0.015726134,330.0,0.7250000000000001,0.08333333333333334,-0.0010695984,220.0,-5.069175,0.94929004,-86.48823178085294,16500.0,10,0.90792346,-151.93419978955484,11000.0
0.021657513,360.0,0.6,0.1,-0.005098458,240.0,-5.0178175,0.9390365,-74.51810192731602,18000.0,11,0.9033863,-100.68387443068099,12000.0
0.026014484,390.0,0.6499999999999999,0.26666666666666666,-0.0022998648,260.0,-5.7133694,0.9285239,-75.92952296197411,19500.0,12,0.902647,-123.07574353214333,13000.0
0.022196908,420.0,0.575,0.33333333333333337,0.0014095185,280.0,-6.0496817,0.92158246,-62.74845100260671,21000.0,13,0.9057903,-152.77134731085795,14000.0
0.01584895,450.0,0.4,0.2,0.0026041577,300.0,-6.286577,0.9125446,-62.397726045835924,22500.0,14,0.9065571,-91.2523838080944,15000.0
0.0151962945,480.0,0.375,0.16666666666666669,-1.576636e-05,320.0,-6.590782,0.9044874,-90.51182206025538,24000.0,15,0.9035756,-96.48367792986934,16000.0
0.017085016,510.0,0.7,0.18333333333333335,0.0015047197,340.0,-7.4007854,0.8983846,-104.34759112306654,25500.0,16,0.9034818,-110.86528633782004,17000.0
0.016573185,540.0,0.7250000000000001,0.15,0.0010184702,360.0,-5.7729073,0.89369327,-81.8186229858257,27000.0,17,0.903651,-84.05213447434951,18000.0
0.016029006,570.0,0.775,0.15,-0.002082548,380.0,-6.047329,0.8879128,-81.41638694523013,28500.0,18,0.9013325,-140.91926976786078,19000.0
0.016256642,600.0,0.8,0.13333333333333333,-0.0013389983,400.0,-6.1156034,0.88412654,-58.357935620706115,30000.0,19,0.90011495,-134.91676880306494,20000.0
