stats_g/mean,test/mean_Q,test/episode,test/success_rate,test/reward,stats_o/std,train/reward,test/steps,stats_o/mean,train/episode,train/success_rate,epoch,train/steps,stats_g/std
0.096241444,-3.5588984,20.0,0.0,-231.4697424277487,1.2626467,-293.8106710663874,1000.0,0.09035547,30.0,0.0,0,1500.0,1.0794371
0.08517761,-4.356494,40.0,0.0,-208.9225886559483,1.1781526,-212.2569982011667,2000.0,0.049248062,60.0,0.0,1,3000.0,0.9988815
0.0225939,-4.60166,60.0,0.0,-143.0794094391757,1.1494589,-216.34925651142643,3000.0,-0.011765115,90.0,0.0,2,4500.0,0.97380173
0.0101174405,-5.744843,80.0,0.0,-194.46555109065616,1.1167674,-147.3887276145185,4000.0,0.0033431351,120.0,0.0,3,6000.0,0.9518693
0.0059477556,-5.4475765,100.0,0.0,-156.82790746670753,1.0816449,-222.9654868262059,5000.0,-0.0041229622,150.0,0.0,4,7500.0,0.9301757
-0.0010689199,-5.2739315,120.0,0.05,-137.49026496515273,1.0563464,-148.93843752018194,6000.0,-0.0052253287,180.0,0.0,5,9000.0,0.9230222
0.0067130467,-5.650289,140.0,0.075,-95.45680897912328,1.0266565,-118.15298015767507,7000.0,0.0033220127,210.0,0.0,6,10500.0,0.9107565
0.0125797065,-5.335948,160.0,0.325,-87.49719545898517,1.0085093,-139.00618169304624,8000.0,0.0012378632,240.0,0.05,7,12000.0,0.90795475
0.014832758,-5.4869957,180.0,0.575,-111.71363448248641,0.9890741,-171.62134430452545,9000.0,0.0025226185,270.0,0.03333333333333333,8,13500.0,0.9039313
0.014829564,-6.508705,200.0,0.45,-111.2267548332461,0.9709564,-140.7782758781774,10000.0,0.0037923004,300.0,0.13333333333333333,9,15000.0,0.89915437
0.019696,-5.034262,220.0,0.5,-99.14892784670548,0.95564985,-151.57136229579365,11000.0,0.005230415,330.0,0.13333333333333333,10,16500.0,0.8945129
0.017789334,-5.8539124,240.0,0.45,-75.42250832416384,0.94545907,-164.38039678969048,12000.0,0.0068634492,360.0,0.21666666666666667,11,18000.0,0.8933605
0.02268772,-6.3317566,260.0,0.8999999999999999,-81.40403513266229,0.9357764,-97.18343616325382,13000.0,0.0071839956,390.0,0.21666666666666667,12,19500.0,0.8911253
0.020536792,-6.037437,280.0,0.7250000000000001,-90.5852520779454,0.92516357,-107.23292479116952,14000.0,0.007321517,420.0,0.18333333333333335,13,21000.0,0.89190567
0.024262741,-5.337122,300.0,0.675,-77.74396437383493,0.915542,-63.26606040322426,15000.0,0.00626103,450.0,0.18333333333333335,14,22500.0,0.89088273
0.030542484,-6.492158,320.0,0.825,-99.43937513297266,0.90801746,-95.73105906430416,16000.0,0.008100564,480.0,0.25,15,24000.0,0.8931354
0.027231678,-6.544738,340.0,0.75,-78.88672411679632,0.90110135,-123.85311897292897,17000.0,0.009894403,510.0,0.26666666666666666,16,25500.0,0.8932166
0.02509389,-6.6219726,360.0,0.175,-39.952853925040685,0.8963289,-127.22196866999954,18000.0,0.010084789,540.0,0.21666666666666667,17,27000.0,0.893841
0.02412189,-6.807304,380.0,0.8,-75.90235971962508,0.8914491,-111.26425283522583,19000.0,0.00843142,570.0,0.16666666666666666,18,28500.0,0.8950209
0.024775349,-6.122225,400.0,0.8500000000000001,-81.21116829791075,0.88659674,-94.17112826043007,20000.0,0.007329489,600.0,0.15,19,30000.0,0.8956995
