Config Epoch Success_rate reward q_value 
A10C10 1 0.0 -185.63073477372652 -2.9063914
A10C10 2 0.0 -166.31221299097044 -3.2687504
A10C10 3 0.075 -196.25264020454975 -4.0619273
A10C10 4 0.27499999999999997 -140.54850568684876 -4.2984724
A10C10 5 0.65 -117.55576063088108 -4.0829873
A10C10 6 0.8583333333333334 -89.4536690400817 -4.3908076
A10C10 7 0.9083333333333333 -103.79517800311184 -4.449467
A10C10 8 0.9583333333333334 -93.91734295647518 -4.6356797
A10C10 9 0.9916666666666667 -97.96255630436686 -4.2890134
A10C10 10 1.0 -57.13565996406862 -4.879568
A10C10 11 1.0 -59.38137683339996 -4.680163
DRL 1 0.0 -196.77463725049202 -2.8254187
DRL 2 0.0 -206.02058661799424 -3.3851788
DRL 3 0.008333333333333333 -139.12604822211884 -4.2580595
DRL 4 0.06666666666666667 -144.66232727012272 -4.5507627
DRL 5 0.225 -152.0078622729742 -4.9798017
DRL 6 0.4666666666666666 -106.67095315812283 -4.774381
DRL 7 0.775 -100.04959376192691 -4.746336
DRL 8 0.9249999999999999 -97.78542969301556 -4.82505
DRL 9 0.9916666666666667 -65.01340126676418 -4.5024166
DRL 10 1.0 -89.7738842440785 -4.492007
DRL 11 1.0 -87.32310900999634 -4.546124
DRL 1 0.0 -207.5614504906637 -2.9185326
DRL 2 0.0 -238.6724372866045 -3.7354317
DRL 3 0.008333333333333333 -141.13897389441138 -4.4763618
DRL 4 0.08333333333333333 -126.7526423207468 -4.533262
DRL 5 0.2916666666666667 -155.9756414335436 -4.783108
DRL 6 0.6 -104.88520542338563 -4.921228
DRL 7 0.875 -121.34084776466153 -4.9180083
DRL 8 0.9416666666666668 -112.7993493358391 -4.8425794
DRL 9 0.9833333333333334 -75.78621707159814 -4.3035707
DRL 10 0.9833333333333334 -81.56300240989414 -5.076944
DRL 11 1.0 -69.15368254830418 -4.541914
A20C20 1 0.0 -181.96715610667434 -3.0251892
A20C20 2 0.0 -128.10444448265594 -3.3706195
A20C20 3 0.06666666666666667 -149.19183360099294 -4.020124
A20C20 4 0.3416666666666666 -124.92819386907881 -4.510588
A20C20 5 0.65 -112.24514498670396 -4.2018647
A20C20 6 0.8249999999999998 -140.46618521548393 -4.533036
A20C20 7 0.8833333333333333 -112.96874058594592 -4.122267
A20C20 8 0.9666666666666667 -96.1331654391284 -4.7772593
A20C20 9 0.9916666666666667 -60.51011673920838 -4.0874496
A20C20 10 1.0 -96.94338440458193 -4.545982
A20C20 11 1.0 -72.77212680960054 -4.580035
A10C10 1 0.0 -234.48665404303938 -2.9229782
A10C10 2 0.0 -181.37226706998635 -3.5889041
A10C10 3 0.06666666666666667 -140.53327647891933 -3.9138565
A10C10 4 0.25833333333333336 -168.70831077469967 -4.2810874
A10C10 5 0.5499999999999999 -108.25057261715911 -4.4166474
A10C10 6 0.75 -75.64721308662034 -4.551308
A10C10 7 0.8916666666666666 -110.46214550806506 -4.6562557
A10C10 8 0.9916666666666667 -72.26270927049619 -4.0675807
A10C10 9 0.9916666666666667 -105.1405442146695 -4.383014
A10C10 10 1.0 -81.46302414263235 -4.333319
A10C10 11 1.0 -68.78216960371476 -4.121954
A20C20 1 0.0 -236.45859896990135 -3.1698189
A20C20 2 0.008333333333333333 -188.98262458302534 -3.5936253
A20C20 3 0.041666666666666664 -168.09427331079613 -4.3429103
A20C20 4 0.3083333333333333 -105.16022670439638 -4.249228
A20C20 5 0.525 -131.29574194858859 -4.9058375
A20C20 6 0.7833333333333332 -109.23383066461156 -4.609527
A20C20 7 0.9333333333333332 -113.43579638228273 -4.525453
A20C20 8 0.9833333333333334 -73.59495914334052 -4.382958
A20C20 9 1.0 -82.50867199262886 -4.243671
A20C20 10 1.0 -67.38482030119953 -4.321446
A20C20 11 1.0 -62.55808700049007 -4.445754
A20C20 1 0.0 -214.38490661443595 -2.878804
A20C20 2 0.0 -158.37737029270602 -3.3864558
A20C20 3 0.075 -164.98795661015075 -3.8891757
A20C20 4 0.3333333333333333 -118.21181337456073 -4.3029284
A20C20 5 0.6083333333333333 -102.73389541881939 -4.490176
A20C20 6 0.7166666666666667 -101.04107131727596 -4.914781
A20C20 7 0.9416666666666668 -116.37301840990953 -4.553083
A20C20 8 0.975 -83.63919575112062 -4.1284914
A20C20 9 1.0 -55.43909774554415 -4.227134
A20C20 10 1.0 -89.9502870016127 -4.8599267
A20C20 11 1.0 -85.16396116018262 -4.2742367
A10C10 1 0.0 -224.70085125161918 -2.9393952
A10C10 2 0.0 -120.48361981022428 -3.2254055
A10C10 3 0.08333333333333333 -186.01865821972197 -4.219929
A10C10 4 0.225 -150.05600525170973 -4.6281524
A10C10 5 0.6166666666666667 -90.10134395313308 -4.2325826
A10C10 6 0.75 -101.02923114173177 -4.575995
A10C10 7 0.9666666666666667 -71.54139135132017 -4.219458
A10C10 8 0.9916666666666667 -88.5653660596348 -4.2851357
A10C10 9 1.0 -77.54061346589958 -4.296473
A10C10 10 1.0 -73.90335711947019 -4.3665013
A10C10 11 1.0 -87.30172781944977 -4.51507
A10C10 1 0.0 -241.8457425440014 -2.880515
A10C10 2 0.008333333333333333 -168.14900975133034 -3.5030365
A10C10 3 0.041666666666666664 -164.7370933175071 -3.6828995
A10C10 4 0.27499999999999997 -156.46758368734228 -4.1906986
A10C10 5 0.4666666666666666 -167.84006488643968 -4.874843
A10C10 6 0.775 -118.21599964428451 -4.5597982
A10C10 7 0.9083333333333332 -88.54486065021145 -4.369805
A10C10 8 0.9499999999999998 -80.98676579255589 -4.444323
A10C10 9 0.9916666666666667 -77.97161665753602 -4.4103
A10C10 10 1.0 -61.94013030673664 -4.0460696
